"URL"||"RESP_CODE"||"BRM_CATEGORY_ID"||"TITLE_DESC"||"META_KEYWORDS"||"META_DESCRIPTION"
"http://obshop.moonfruit.com"||200||7||"Botanical Shop"||"Green Vein Kratom ShotKratom ShopKratom StoreShop KratomBali Blend Extra StrengthGMAX CBDCBD Vapors"||"Green Vein Extra Strength shot is here. This is the srongest relaxation shot available. Texas Botanical carries shots, powders and capsules."
"http://pokerfraudalert.com"||301||4||"Poker Fraud Alert Forums - Homepage"||"The Front Page, vBulletin 4.0, CMS"||"vBulletin 4.0 Publishing Suite with CMS"
"http://ge.tt"||200||10008||"Ge.tt"||""||""
"http://foresightlinux.se"||200||10008||""||""||""
"http://letsw.com"||302||10008||"LetsW.com -- Hide referrer, protect linking privacy"||"hide referer, mask url, domain privacy"||"LetsW.com is a free service to protect your privacy . Helps you keep links more anonymous by hiding your referrer url."
"http://bit-italia.org"||200||10008||"www.bit-italia.org :: Benvenuto/a a www.bit-italia.org"||"templateshares, torrent, php, mysql, html, css, ajax, javascript, xam, template, share, shares, tsse, ts special edition, generation tracker source, tracker source, template shares"||"Templateshares Special Edition - Generation Tracker Source - Build your own tracker today!"
"http://www.awakebrain.com"||301||5||"AwakeBrain.com Your Best Source For Quality Nootropics"||""||""
"http://smartcashsystem.com"||200||10008||"SmartCashSystem.com - Make $4000/Week Online"||"Magento, Varien, E-commerce"||"Default Description"
"http://stjosephwilmette.com"||301||4||"Home - St. Joseph School"||""||""
"http://swpt.org"||301||10008||"Swing - SWPT Swinger Community & Lifestyle"||"swing,swinge,swingue,swingers,troca de casais,site swing,encontros,encontros online,encontros casuais,casais swing,swing pt,bar swing,clube swing,clube de swing,club de swing,swing clube,swing portugal,swing em portugal"||"NA"
"http://000bxe1.wcomhost.com"||200||7||"Smoking Accessories | Mira Loma, CA, Taham Imports"||" tattoo ink, tattoo kit, glass pipe, water pipes, bubbler, smoking accessories, nectar collector,  acrylic water pipes, animal pipes, metal pipes, grinders, concentrate accessories, ceramic nail, titanium nails,  wood pipe, chillum, mesh screen, concentrate oil bubbler, bowls, downstems, electronic nail, "||"Purchase high-quality  smoking accessories from our wholesale company in Mira Loma, CA."
